,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
139,Japanese Extension,,scaled,38.0,5.2,50.0,48.3,45.0,41.2,38.0,34.7
140,Japanese in Context,44,HSC,43.3,3.1,47.5,47.5,46.0,45.5,44.0,41.5
141,Japanese in Context,,scaled,26.8,10.9,50.0,50.0,39.2,36.4,27.1,17.5
142,Khmer Continuers,12,HSC,43.3,1.7,46.5,,,,,
143,Khmer Continuers,,scaled,15.0,8.6,34.1,,,,,
144,Korean Beginners,110,HSC,41.4,5.6,49.5,49.5,48.0,46.0,41.5,38.0
145,Korean Beginners,,scaled,27.7,11.1,49.2,49.0,42.8,36.1,26.1,19.8
146,Korean Continuers,84,HSC,43.5,4.9,49.0,49.0,47.5,46.5,45.5,41.5
147,Korean Continuers,,scaled,27.2,10.7,48.6,48.6,39.4,34.1,28.0,20.5
148,Korean & Literature,30,HSC,42.3,3.6,49.5,,,,,
149,Korean & Literature,,scaled,25.6,10.4,50.0,,,,,
150,Korean in Context,51,HSC,44.2,4.3,49.0,49.0,48.0,47.0,46.0,43.0
151,Korean in Context,,scaled,29.3,9.8,49.5,49.5,41.7,36.0,30.9,23.4
152,Latin Continuers,140,HSC,44.1,4.4,50.0,49.5,48.5,47.5,45.5,42.0
153,Latin Continuers,,scaled,40.5,7.3,50.0,49.0,47.7,46.1,42.6,37.3
154,Latin Extension,80,HSC,46.0,4.2,50.0,50.0,49.0,49.0,47.0,45.0
155,Latin Extension,,scaled,42.3,6.4,50.0,50.0,48.4,47.0,43.7,39.4
156,Macedonian Continuers,16,HSC,37.1,6.8,48.0,,,,,
157,Macedonian Continuers,,scaled,21.8,11.3,47.2,,,,,
158,Modern Greek Beginners,102,HSC,43.0,6.0,50.0,50.0,49.0,48.0,44.5,40.0
159,Modern Greek Beginners,,scaled,26.0,10.5,47.0,45.2,39.0,34.8,25.5,18.7
160,Modern Greek Continuers,55,HSC,42.6,5.9,49.5,49.5,49.0,47.5,43.5,38.5
161,Modern Greek Continuers,,scaled,25.2,13.9,50.0,50.0,45.6,35.3,21.4,13.9
162,Modern Greek Extension,23,HSC,43.5,3.3,50.0,,,,,
163,Modern Greek Extension,,scaled,34.9,4.7,49.7,,,,,
164,Modern Hebrew Continuers,31,HSC,46.5,3.2,50.0,,,,,
165,Modern Hebrew Continuers,,scaled,30.8,10.9,50.0,,,,,
166,Persian Continuers,24,HSC,44.1,3.3,49.0,,,,,
167,Persian Continuers,,scaled,22.4,6.7,37.3,,,,,
168,Polish Continuers,15,HSC,45.8,2.7,50.0,,,,,
169,Polish Continuers,,scaled,30.2,10.0,50.0,,,,,
170,Portuguese Continuers,14,HSC,40.8,5.3,46.5,,,,,
171,Portuguese Continuers,,scaled,28.0,11.6,46.4,,,,,
172,Punjabi Continuers,19,HSC,40.4,2.9,46.0,,,,,
173,Punjabi Continuers,,scaled,27.8,10.0,48.9,,,,,
174,Russian Continuers,28,HSC,44.3,3.1,48.0,,,,,
175,Russian Continuers,,scaled,25.9,11.8,50.0,,,,,
176,Serbian Continuers,22,HSC,44.1,4.1,49.0,,,,,
177,Serbian Continuers,,scaled,23.9,8.8,42.1,,,,,
178,Spanish Beginners,286,HSC,40.3,6.3,49.5,49.0,48.0,45.5,41.5,36.0
179,Spanish Beginners,,scaled,25.7,12.2,50.0,47.9,42.3,35.5,26.0,16.6
180,Spanish Continuers,180,HSC,40.6,5.1,49.0,49.0,47.0,44.5,41.5,36.5
181,Spanish Continuers,,scaled,26.6,9.8,47.4,46.8,39.0,33.3,28.0,19.8
182,Spanish Extension,57,HSC,44.3,3.4,49.0,49.0,48.0,47.0,45.0,42.0
183,Spanish Extension,,scaled,32.4,5.8,47.2,47.2,40.3,36.5,31.6,28.0
184,Turkish Continuers,41,HSC,42.3,4.3,49.0,49.0,47.5,46.5,42.0,39.5
185,Turkish Continuers,,scaled,22.4,13.4,50.0,50.0,41.1,33.6,18.0,13.5
186,Vietnamese Continuers,218,HSC,39.8,3.5,47.5,46.5,43.5,42.5,40.0,37.5
187,Vietnamese Continuers,,scaled,17.9,9.5,41.1,40.3,30.7,25.1,16.3,10.2
188,Automotive Exam,264,HSC,37.3,4.6,47.5,47.0,43.5,41.0,37.0,33.5
189,Automotive Exam,,scaled,14.1,9.8,38.2,37.7,28.8,21.2,11.5,5.7
190,Business Services Exam,"1,515",HSC,36.8,5.2,50.0,46.5,43.0,40.5,37.0,33.5
191,Business Services Exam,,scaled,18.7,9.8,42.4,39.1,32.9,26.1,17.8,10.8
192,Construction Exam,"1,951",HSC,38.0,5.5,48.0,47.0,44.0,42.0,39.0,35.0
193,Construction Exam,,scaled,16.5,10.3,41.4,39.5,31.4,24.7,15.0,8.3
194,Electrotechnology Exam,328,HSC,36.1,4.6,46.5,45.0,42.5,39.5,36.5,32.5
195,Electrotechnology Exam,,scaled,17.6,9.1,39.5,36.7,31.1,24.0,17.2,9.5
196,Entertainment Industry Exam,979,HSC,39.0,4.6,48.0,47.5,45.0,43.0,39.0,36.0
197,Entertainment Industry Exam,,scaled,20.8,9.9,44.3,43.5,34.4,28.6,19.9,13.2
198,Financial Services Exam,101,HSC,36.8,4.4,45.5,45.5,43.0,40.5,36.5,34.0
199,Financial Services Exam,,scaled,24.6,9.7,46.6,46.6,39.2,32.0,22.9,17.5
200,Hospitality Exam,"5,642",HSC,37.7,4.8,48.5,46.5,43.5,41.0,38.0,34.5
201,Hospitality Exam,,scaled,18.7,10.2,43.6,41.2,33.6,25.9,17.5,10.1
202,Human Services Exam,790,HSC,36.5,4.1,47.5,46.5,42.5,39.0,36.0,33.5
203,Human Services Exam,,scaled,18.7,9.0,40.6,39.1,32.1,25.1,18.1,11.5
204,Information & Digital Technology Exam,383,HSC,36.3,4.9,46.0,44.0,41.5,39.5,37.0,34.0
205,Information & Digital Technology Exam,,scaled,19.2,9.8,43.1,40.6,33.7,26.7,18.8,11.7
206,Primary Industries Exam,663,HSC,37.3,3.9,48.5,45.5,42.5,40.0,37.5,35.0
207,Primary Industries Exam,,scaled,16.2,9.1,38.7,36.2,29.9,23.5,15.2,8.7
208,Retail Services Exam,909,HSC,35.5,4.6,47.5,46.0,41.5,38.0,35.5,33.0
209,Retail Services Exam,,scaled,16.1,10.2,41.0,39.3,31.9,22.9,14.7,7.4
210,"Tourism, Travel & Events Exam",94,HSC,37.9,3.7,45.5,45.5,42.5,40.5,38.0,36.0
211,"Tourism, Travel & Events Exam",,scaled,20.4,9.6,43.1,43.1,34.4,26.4,19.4,13.9
214,Enterprise Computing,"1,869",HSC,37.0,5.3,49.5,46.5,43.5,40.5,37.5,34.0
215,Enterprise Computing,,scaled,23.8,10.9,50.0,46.1,39.1,31.7,23.7,15.6
216,Software Engineering,"1,768",HSC,37.6,5.6,49.0,48.0,44.5,41.5,38.0,34.5
217,Software Engineering,,scaled,26.7,10.3,50.0,47.3,40.5,34.6,27.2,19.0
