,Course,Number,"Type of
mark",Mean,SD,"Max.
mark","P
99","P
90","P
75","P
50","P
25"
142,Khmer Continuers,12,HSC,43.3,1.7,46.5,,,,,
143,Khmer Continuers,,scaled,15.0,8.6,34.1,,,,,
144,Korean Beginners,110,HSC,40.1,6.2,49.5,49.5,47.0,45.0,40.5,36.0
145,Korean Beginners,,scaled,26.7,11.0,50.0,50.0,41.0,34.9,26.6,17.7
146,Korean Continuers,14,HSC,41.0,4.6,49.5,,,,,
147,Korean Continuers,,scaled,25.1,7.7,42.3,,,,,
148,Korean & Literature,30,HSC,42.3,3.6,49.5,,,,,
149,Korean & Literature,,scaled,25.6,10.4,50.0,,,,,
150,Korean in Context,51,HSC,44.2,4.3,49.0,49.0,48.0,47.0,46.0,43.0
151,Korean in Context,,scaled,29.3,9.8,49.5,49.5,41.7,36.0,30.9,23.4
152,Latin Continuers,141,HSC,42.3,4.9,49.5,49.5,47.5,45.5,43.5,39.5
153,Latin Continuers,,scaled,39.9,7.1,50.0,49.8,47.4,44.4,41.6,37.1
154,Latin Extension,83,HSC,45.8,4.7,50.0,50.0,49.0,49.0,47.0,46.0
155,Latin Extension,,scaled,41.4,7.4,50.0,50.0,47.9,46.4,43.4,39.3
156,Macedonian Continuers,16,HSC,37.1,6.8,48.0,,,,,
157,Macedonian Continuers,,scaled,21.8,11.3,47.2,,,,,
158,Modern Greek Beginners,75,HSC,43.5,5.2,50.0,50.0,49.0,48.0,45.0,40.5
159,Modern Greek Beginners,,scaled,27.8,10.9,48.7,48.7,42.1,36.9,28.1,20.2
160,Modern Greek Continuers,80,HSC,42.6,4.8,48.5,48.5,47.5,46.5,43.5,40.0
161,Modern Greek Continuers,,scaled,26.7,12.1,50.0,50.0,42.2,37.4,25.6,17.6
162,Modern Greek Extension,23,HSC,43.5,3.3,50.0,,,,,
163,Modern Greek Extension,,scaled,34.9,4.7,49.7,,,,,
164,Modern Hebrew Continuers,31,HSC,46.5,3.2,50.0,,,,,
165,Modern Hebrew Continuers,,scaled,30.8,10.9,50.0,,,,,
166,Persian Continuers,24,HSC,44.1,3.3,49.0,,,,,
167,Persian Continuers,,scaled,22.4,6.7,37.3,,,,,
168,Polish Continuers,15,HSC,45.8,2.7,50.0,,,,,
169,Polish Continuers,,scaled,30.2,10.0,50.0,,,,,
170,Portuguese Continuers,14,HSC,40.8,5.3,46.5,,,,,
171,Portuguese Continuers,,scaled,28.0,11.6,46.4,,,,,
172,Punjabi Continuers,19,HSC,40.4,2.9,46.0,,,,,
173,Punjabi Continuers,,scaled,27.8,10.0,48.9,,,,,
174,Russian Continuers,28,HSC,44.3,3.1,48.0,,,,,
175,Russian Continuers,,scaled,25.9,11.8,50.0,,,,,
176,Serbian Continuers,22,HSC,44.1,4.1,49.0,,,,,
